       Energy delta[Wh]   GHI  temp  pressure  humidity  wind_speed  rain_1h  snow_1h  clouds_all  isSun  sunlightTime  dayLength  SunlightTime/daylength  weather_type  month
161          194.079570   0.0   1.8      1025        90         2.1     0.00     0.00          29      0             0        465                    0.00             2     12
162          194.079570   0.0   1.8      1025        90         2.1     0.00     0.00          29      0             0        465                    0.00             2     12
163          194.079570   0.0   1.8      1025        90         2.1     0.00     0.00          29      0             0        465                    0.00             2     12
164          207.154620   0.0   1.6      1025        92         2.4     0.00     0.00          34      0             0        465                    0.00             2     12
165          207.154620   0.0   1.6      1025        92         2.4     0.00     0.00          34      0             0        465                    0.00             2     12
166          207.154620   0.0   1.6      1025        92         2.4     0.00     0.00          34      0             0        465                    0.00             2     12
167          207.154620   0.0   1.6      1025        92         2.4     0.00     0.00          34      0             0        465                    0.00             2     12
168          -15.629798   0.0   1.2      1025        92         2.5     0.00     0.00          11      0             0        465                    0.00             2     12
169          -15.629798   0.0   1.2      1025        92         2.5     0.00     0.00          11      0             0        465                    0.00             2     12
170          -15.629798   0.0   1.2      1025        92         2.5     0.00     0.00          11      0             0        465                    0.00             2     12
171          -15.629798   0.0   1.2      1025        92         2.5     0.00     0.00          11      0             0        465                    0.00             2     12
172          -37.887157   0.0   1.0      1026        93         2.5     0.00     0.00           7      0             0        465                    0.00             1     12
173          -37.887157   0.0   1.0      1026        93         2.5     0.00     0.00           7      0             0        465                    0.00             1     12
174          -37.887157   0.0   1.0      1026        93         2.5     0.00     0.00           7      0             0        465                    0.00             1     12
175          -37.887157   0.0   1.0      1026        93         2.5     0.00     0.00           7      0             0        465                    0.00             1     12
176          -11.117180   0.0   0.8      1026        94         2.5     0.00     0.00          12      0             0        465                    0.00             2     12
177          -11.117180   0.0   0.8      1026        94         2.5     0.00     0.00          12      0             0        465                    0.00             2     12
178          -11.117180   0.0   0.8      1026        94         2.5     0.00     0.00          12      0             0        465                    0.00             2     12
179          -11.117180   0.0   0.8      1026        94         2.5     0.00     0.00          12      0             0        465                    0.00             2     12
180          153.496960   0.0   1.0      1025        94         2.5     0.00     0.00          26      0             0        465                    0.00             2     12
181          153.496960   0.0   1.0      1025        94         2.5     0.00     0.00          26      0             0        465                    0.00             2     12
182          153.496960   0.0   1.0      1025        94         2.5     0.00     0.00          26      0             0        465                    0.00             2     12
183          153.496960   0.0   1.0      1025        94         2.5     0.00     0.00          26      0             0        465                    0.00             2     12
184          144.360120   0.0   0.3      1025        94         2.5     0.00     0.00          25      0             0        465                    0.00             2     12
185          144.360120   0.0   0.3      1025        94         2.5     0.00     0.00          25      0             0        465                    0.00             2     12
186          144.360120   0.0   0.3      1025        94         2.5     0.00     0.00          25      0             0        465                    0.00             2     12
187          144.360120   0.0   0.3      1025        94         2.5     0.00     0.00          25      0             0        465                    0.00             2     12
188          178.662340   0.0   0.1      1025        94         2.7     0.00     0.00          30      0             0        465                    0.00             2     12
189          178.662340   0.0   0.1      1025        94         2.7     0.00     0.00          30      0             0        465                    0.00             2     12
190          178.662340   0.0   0.1      1025        94         2.7     0.00     0.00          30      0             0        465                    0.00             2     12
191          178.662340   0.0   0.1      1025        94         2.7     0.00     0.00          30      0             0        465                    0.00             2     12
192          205.360570   0.0  -0.3      1025        96         3.1     0.00     0.00          38      0             0        465                    0.00             2     12
193          205.360570   0.0  -0.3      1025        96         3.1     0.00     0.00          38      0             0        465                    0.00             2     12
194          205.360570   0.0  -0.3      1025        96         3.1     0.00     0.00          38      0             0        465                    0.00             2     12
195          205.360570   0.0  -0.3      1025        96         3.1     0.00     0.00          38      0             0        465                    0.00             2     12
196          204.769380   0.0  -0.8      1024        96         3.4     0.00     0.00          55      0             0        465                    0.00             3     12
197          204.769380   0.0  -0.8      1024        96         3.4     0.00     0.00          55      0             0        465                    0.00             3     12
198          204.769380   0.0  -0.8      1024        96         3.4     0.00     0.00          55      0             0        465                    0.00             3     12
199          204.769380   0.0  -0.8      1024        96         3.4     0.00     0.00          55      0             0        465                    0.00             3     12
200           68.463940   0.0  -0.8      1024        97         3.7     0.00     0.00          86      0             0        465                    0.00             4     12
201           68.463940   0.0  -0.8      1024        97         3.7     0.00     0.00          86      0             0        465                    0.00             4     12
202           68.463940   0.0  -0.8      1024        97         3.7     0.00     0.00          86      0             0        465                    0.00             4     12
203           68.463940   0.0  -0.8      1024        97         3.7     0.00     0.00          86      0             0        465                    0.00             4     12
204           44.826485   0.0  -1.4      1023        97         4.2     0.00     0.00         100      0             0        465                    0.00             4     12
205           44.826485   0.0  -1.4      1023        97         4.2     0.00     0.00         100      0             0        465                    0.00             4     12
206           44.826485   0.0  -1.4      1023        97         4.2     0.00     0.00         100      0             0        465                    0.00             4     12
207           44.826485   0.0  -1.4      1023        97         4.2     0.00     0.00         100      0             0        465                    0.00             4     12
208           79.708920   0.0  -1.5      1023        96         4.7     0.00     0.00          84      0             0        465                    0.00             3     12
209           79.708920   0.0  -1.5      1023        96         4.7     0.00     0.00          84      0             0        465                    0.00             3     12
210           79.708920   0.0  -1.5      1023        96         4.7     0.00     0.00          84      0             0        465                    0.00             3     12
211           79.708920   0.0  -1.5      1023        96         4.7     0.00     0.00          84      0             0        465                    0.00             3     12
212           96.606640   0.0  -1.6      1023        95         4.9     0.00     0.00          81      0             0        465                    0.00             3     12
213           96.606640   0.0  -1.6      1023        95         4.9     0.00     0.00          81      0             0        465                    0.00             3     12
214           96.606640   0.0  -1.6      1023        95         4.9     0.00     0.00          81      0             0        465                    0.00             3     12
215           96.606640   0.0  -1.6      1023        95         4.9     0.00     0.00          81      0             0        465                    0.00             3     12
216          151.352040   0.0  -1.6      1022        94         5.1     0.00     0.00          71      0             0        465                    0.00             3     12
217          151.352040   0.0  -1.6      1022        94         5.1     0.00     0.00          71      0             0        465                    0.00             3     12
218          151.352040   0.0  -1.6      1022        94         5.1     0.00     0.00          71      0             0        465                    0.00             3     12
219          151.352040   0.0  -1.6      1022        94         5.1     0.00     0.00          71      0             0        465                    0.00             3     12
220          285.951780   1.0  -1.6      1022        95         5.2     0.00     0.00          64      1            15        465                    0.03             3     12
221          553.247440   5.2  -1.6      1022        95         5.2     0.00     0.00          64      1            30        465                    0.06             3     12
222          961.290830  10.6  -1.6      1022        95         5.2     0.00     0.00          64      1            45        465                    0.10             3     12
223          597.902100  16.3  -1.6      1022        95         5.2     0.00     0.00          64      1            60        465                    0.13             3     12
224          550.891660  13.5  -0.9      1022        93         5.5     0.00     0.00          40      1            75        465                    0.16             2     12
225          915.436900   6.2  -0.9      1022        93         5.5     0.00     0.00          40      1            90        465                    0.19             2     12
226          507.491400   4.0  -0.9      1022        93         5.5     0.00     0.00          40      1           105        465                    0.23             2     12
227          512.476260   4.3  -0.9      1022        93         5.5     0.00     0.00          40      1           120        465                    0.26             2     12
228          850.833900   4.6  -0.7      1022        89         6.1     0.00     0.00          51      1           135        465                    0.29             3     12
229          717.159100   4.8  -0.7      1022        89         6.1     0.00     0.00          51      1           150        465                    0.32             3     12
230          615.029050   5.0  -0.7      1022        89         6.1     0.00     0.00          51      1           165        465                    0.35             3     12
231          754.701100   5.3  -0.7      1022        89         6.1     0.00     0.00          51      1           180        465                    0.39             3     12
232          589.353800   8.6  -0.8      1021        84         6.1     0.00     0.00          18      1           195        465                    0.42             2     12
233          360.841430  24.3  -0.8      1021        84         6.1     0.00     0.00          18      1           210        465                    0.45             2     12
234         1654.318800  37.2  -0.8      1021        84         6.1     0.00     0.00          18      1           225        465                    0.48             2     12
235         1566.589100  41.5  -0.8      1021        84         6.1     0.00     0.00          18      1           240        465                    0.52             2     12
236         1571.861100  44.3  -0.0      1020        81         6.6     0.00     0.00          18      1           255        465                    0.55             2     12
237         1430.094200  44.6  -0.0      1020        81         6.6     0.00     0.00          18      1           270        465                    0.58             2     12
238         1430.212500  42.4  -0.0      1020        81         6.6     0.00     0.00          18      1           285        465                    0.61             2     12
239         1518.658000  39.3  -0.0      1020        81         6.6     0.00     0.00          18      1           300        465                    0.65             2     12
240         2297.610000  37.6   0.8      1019        80         7.2     0.00     0.00          58      1           315        465                    0.68             3     12
241         2404.822800  33.5   0.8      1019        80         7.2     0.00     0.00          58      1           330        465                    0.71             3     12
242         1911.769500  17.6   0.8      1019        80         7.2     0.00     0.00          58      1           345        465                    0.74             3     12
243         1364.739400  15.9   0.8      1019        80         7.2     0.00     0.00          58      1           360        465                    0.77             3     12
244         1031.200000  21.6   0.8      1018        81         6.1     0.00     0.00          84      1           375        465                    0.81             3     12
245         1507.074700  18.4   0.8      1018        81         6.1     0.00     0.00          84      1           390        465                    0.84             3     12
246          217.187330  16.2   0.8      1018        81         6.1     0.00     0.00          84      1           405        465                    0.87             3     12
247          -90.266340  12.9   0.8      1018        81         6.1     0.00     0.00          84      1           420        465                    0.90             3     12
248          -91.218600   7.6   0.9      1017        83         6.3     0.00     0.00          76      1           435        465                    0.94             3     12
249         -101.719330   2.8   0.9      1017        83         6.3     0.00     0.00          76      1           450        465                    0.97             3     12
250         -140.208270   0.1   0.9      1017        83         6.3     0.00     0.00          76      1           465        465                    1.00             3     12
251          172.048650   0.0   0.9      1017        83         6.3     0.00     0.00          76      0             0        465                    0.00             3     12
252           78.763824   0.0   0.8      1017        86         6.0     0.00     0.00          92      0             0        465                    0.00             4     12
253           78.763824   0.0   0.8      1017        86         6.0     0.00     0.00          92      0             0        465                    0.00             4     12
254           78.763824   0.0   0.8      1017        86         6.0     0.00     0.00          92      0             0        465                    0.00             4     12
255           78.763824   0.0   0.8      1017        86         6.0     0.00     0.00          92      0             0        465                    0.00             4     12
256           51.608830   0.0   0.8      1017        89         6.2     0.00     0.25         100      0             0        465                    0.00             5     12
